=== MAX–MIN FAIRNESS (CLASSICAL) FOR RIDESHARE ===
Drivers: 100, Riders: 500, Graph nodes: 156, edges: 410
Phase 1 (max-min) optimal min_load z*: 0
Phase 1 load per driver: d1:0, d2:0, d3:0, d4:0, d5:0, d6:0, d7:0, d8:0, d9:0, d10:0, d11:0, d12:0, d13:0, d14:0, d15:0, d16:0, d17:0, d18:0, d19:0, d20:0, d21:0, d22:0, d23:0, d24:0, d25:0, d26:0, d27:0, d28:0, d29:0, d30:0, d31:0, d32:0, d33:0, d34:0, d35:0, d36:0, d37:0, d38:0, d39:0, d40:0, d41:0, d42:0, d43:0, d44:0, d45:0, d46:0, d47:0, d48:0, d49:0, d50:0, d51:0, d52:0, d53:0, d54:0, d55:0, d56:0, d57:0, d58:0, d59:0, d60:0, d61:0, d62:0, d63:0, d64:0, d65:0, d66:0, d67:0, d68:0, d69:0, d70:0, d71:0, d72:0, d73:0, d74:0, d75:0, d76:0, d77:0, d78:0, d79:0, d80:0, d81:0, d82:0, d83:0, d84:0, d85:0, d86:0, d87:0, d88:0, d89:0, d90:0, d91:0, d92:0, d93:0, d94:0, d95:0, d96:0, d97:0, d98:0, d99:0, d100:0
Phase 2 (efficiency under fairness) optimal.

=== FINAL RESULTS ===
 Rider r360 -> Driver d18
 Rider r361 -> Driver None
 Rider r362 -> Driver None
 Rider r363 -> Driver d37
 Rider r364 -> Driver d73
 Rider r365 -> Driver d25
 Rider r366 -> Driver d2
 Rider r367 -> Driver None
 Rider r368 -> Driver None
 Rider r369 -> Driver d56
 Rider r370 -> Driver None
 Rider r371 -> Driver None
 Rider r372 -> Driver d60
 Rider r373 -> Driver d5
 Rider r374 -> Driver d21
 Rider r375 -> Driver d34
 Rider r376 -> Driver None
 Rider r377 -> Driver d43
 Rider r378 -> Driver None
 Rider r379 -> Driver None
 Rider r380 -> Driver d32
 Rider r381 -> Driver None
 Rider r382 -> Driver d7
 Rider r383 -> Driver d65
 Rider r384 -> Driver None
 Rider r385 -> Driver d73
 Rider r386 -> Driver d16
 Rider r387 -> Driver d39
 Rider r388 -> Driver d25
 Rider r389 -> Driver d97
 Rider r390 -> Driver d10
 Rider r391 -> Driver None
 Rider r392 -> Driver d96
 Rider r393 -> Driver None
 Rider r394 -> Driver None
 Rider r395 -> Driver None
 Rider r396 -> Driver d87
 Rider r397 -> Driver d52
 Rider r398 -> Driver d35
 Rider r399 -> Driver None
 Rider r400 -> Driver None
 Rider r401 -> Driver None
 Rider r402 -> Driver d88
 Rider r403 -> Driver None
 Rider r404 -> Driver None
 Rider r405 -> Driver None
 Rider r406 -> Driver d38
 Rider r407 -> Driver d11
 Rider r408 -> Driver d10
 Rider r409 -> Driver None
 Rider r410 -> Driver d95
 Rider r411 -> Driver d37
 Rider r412 -> Driver d88
 Rider r413 -> Driver None
 Rider r414 -> Driver None
 Rider r415 -> Driver None
 Rider r416 -> Driver d22
 Rider r417 -> Driver d70
 Rider r418 -> Driver d82
 Rider r419 -> Driver None
 Rider r420 -> Driver d70
 Rider r421 -> Driver d40
 Rider r422 -> Driver d96
 Rider r423 -> Driver d10
 Rider r424 -> Driver d88
 Rider r425 -> Driver d96
 Rider r426 -> Driver None
 Rider r427 -> Driver d14
 Rider r428 -> Driver d61
 Rider r429 -> Driver d65
 Rider r430 -> Driver d77
 Rider r431 -> Driver d61
 Rider r432 -> Driver None
 Rider r433 -> Driver d56
 Rider r434 -> Driver d61
 Rider r435 -> Driver d35
 Rider r436 -> Driver d100
 Rider r437 -> Driver d100
 Rider r438 -> Driver d21
 Rider r439 -> Driver None
 Rider r440 -> Driver d30
 Rider r441 -> Driver d27
 Rider r442 -> Driver d35
 Rider r443 -> Driver d2
 Rider r444 -> Driver None
 Rider r445 -> Driver d98
 Rider r446 -> Driver d8
 Rider r447 -> Driver d88
 Rider r448 -> Driver d97
 Rider r449 -> Driver d58
 Rider r450 -> Driver d58
 Rider r451 -> Driver d27
 Rider r452 -> Driver d82
 Rider r453 -> Driver None
 Rider r454 -> Driver d51
 Rider r455 -> Driver d87
 Rider r456 -> Driver d100
 Rider r457 -> Driver d91
 Rider r458 -> Driver d59
 Rider r459 -> Driver d41
 Rider r460 -> Driver d27
 Rider r461 -> Driver None
 Rider r462 -> Driver d66
 Rider r463 -> Driver d49
 Rider r464 -> Driver d93
 Rider r465 -> Driver d41
 Rider r466 -> Driver d14
 Rider r467 -> Driver d84
 Rider r468 -> Driver d46
 Rider r469 -> Driver d5
 Rider r470 -> Driver d59
 Rider r471 -> Driver d59
 Rider r472 -> Driver d84
 Rider r473 -> Driver d2
 Rider r474 -> Driver d63
 Rider r475 -> Driver d40
 Rider r476 -> Driver d20
 Rider r477 -> Driver d91
 Rider r478 -> Driver d77
 Rider r479 -> Driver d75
 Rider r480 -> Driver d63
 Rider r481 -> Driver d55
 Rider r482 -> Driver d17
 Rider r483 -> Driver d91
 Rider r484 -> Driver d38
 Rider r485 -> Driver d5
 Rider r486 -> Driver d29
 Rider r487 -> Driver d63
 Rider r488 -> Driver d48
 Rider r489 -> Driver d97
 Rider r490 -> Driver d100
 Rider r491 -> Driver d84
 Rider r492 -> Driver None
 Rider r493 -> Driver d49
 Rider r494 -> Driver d74
 Rider r495 -> Driver d42
 Rider r496 -> Driver d58
 Rider r497 -> Driver d37
 Rider r498 -> Driver d14
 Rider r499 -> Driver d35
 Rider r500 -> Driver d87

Driver loads:
 Driver d1: 0 riders
 Driver d2: 3 riders
 Driver d3: 5 riders
 Driver d4: 0 riders
 Driver d5: 5 riders
 Driver d6: 5 riders
 Driver d7: 4 riders
 Driver d8: 5 riders
 Driver d9: 5 riders
 Driver d10: 5 riders
 Driver d11: 1 riders
 Driver d12: 0 riders
 Driver d13: 0 riders
 Driver d14: 5 riders
 Driver d15: 5 riders
 Driver d16: 5 riders
 Driver d17: 5 riders
 Driver d18: 2 riders
 Driver d19: 0 riders
 Driver d20: 5 riders
 Driver d21: 5 riders
 Driver d22: 5 riders
 Driver d23: 3 riders
 Driver d24: 0 riders
 Driver d25: 5 riders
 Driver d26: 0 riders
 Driver d27: 5 riders
 Driver d28: 5 riders
 Driver d29: 5 riders
 Driver d30: 5 riders
 Driver d31: 0 riders
 Driver d32: 5 riders
 Driver d33: 0 riders
 Driver d34: 5 riders
 Driver d35: 5 riders
 Driver d36: 0 riders
 Driver d37: 5 riders
 Driver d38: 5 riders
 Driver d39: 5 riders
 Driver d40: 5 riders
 Driver d41: 2 riders
 Driver d42: 5 riders
 Driver d43: 5 riders
 Driver d44: 0 riders
 Driver d45: 5 riders
 Driver d46: 5 riders
 Driver d47: 0 riders
 Driver d48: 5 riders
 Driver d49: 5 riders
 Driver d50: 0 riders
 Driver d51: 5 riders
 Driver d52: 5 riders
 Driver d53: 0 riders
 Driver d54: 0 riders
 Driver d55: 5 riders
 Driver d56: 5 riders
 Driver d57: 5 riders
 Driver d58: 5 riders
 Driver d59: 5 riders
 Driver d60: 5 riders
 Driver d61: 5 riders
 Driver d62: 0 riders
 Driver d63: 5 riders
 Driver d64: 0 riders
 Driver d65: 5 riders
 Driver d66: 5 riders
 Driver d67: 0 riders
 Driver d68: 5 riders
 Driver d69: 0 riders
 Driver d70: 5 riders
 Driver d71: 0 riders
 Driver d72: 5 riders
 Driver d73: 5 riders
 Driver d74: 5 riders
 Driver d75: 5 riders
 Driver d76: 0 riders
 Driver d77: 5 riders
 Driver d78: 5 riders
 Driver d79: 0 riders
 Driver d80: 5 riders
 Driver d81: 0 riders
 Driver d82: 5 riders
 Driver d83: 0 riders
 Driver d84: 5 riders
 Driver d85: 5 riders
 Driver d86: 5 riders
 Driver d87: 5 riders
 Driver d88: 5 riders
 Driver d89: 5 riders
 Driver d90: 0 riders
 Driver d91: 5 riders
 Driver d92: 0 riders
 Driver d93: 5 riders
 Driver d94: 0 riders
 Driver d95: 5 riders
 Driver d96: 5 riders
 Driver d97: 5 riders
 Driver d98: 5 riders
 Driver d99: 0 riders
 Driver d100: 5 riders

Mean load: 3.450
Variance: 5.027500
Std dev: 2.242209

=== ANALYSIS SUMMARY ===
Method: Classical Max-Min Fairness (Two-Phase)
Drivers: 100
Riders: 500
Assignments made: 345
Variance: 5.027500
Standard deviation: 2.242209
Load spread (max - min): 5
Fairness ratio (min/max): 0.000

Total execution time: 15.4428 sec
